Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
1,21685,Justin Jefferson,MIN,13,24,WR,WR1,1
2,18877,Christian McCaffrey,SF,9,27,RB,RB1,2
3,22564,Ja'Marr Chase,CIN,7,24,WR,WR2,3
4,19562,Austin Ekeler,LAC,5,29,RB,RB2,4
5,18082,Tyreek Hill,MIA,10,30,WR,WR3,5
6,15048,Travis Kelce,KC,10,34,TE,TE1,6
7,18882,Cooper Kupp,LAR,10,30,WR,WR4,7
8,23189,Bijan Robinson,ATL,11,22,RB,RB3,8
9,19766,Saquon Barkley,NYG,13,27,RB,RB4,9
10,16906,Stefon Diggs,BUF,13,30,WR,WR5,10
11,21679,CeeDee Lamb,DAL,7,25,WR,WR6,11
12,19798,Nick Chubb,CLE,5,28,RB,RB5,12
13,21042,A.J. Brown,PHI,10,26,WR,WR7,13
14,16470,Davante Adams,LV,13,31,WR,WR8,14
15,20912,Tony Pollard,DAL,7,27,RB,RB6,15
16,22587,Amon-Ra St. Brown,DET,9,24,WR,WR9,16
17,23122,Garrett Wilson,NYJ,7,23,WR,WR10,17
18,17959,Derrick Henry,TEN,7,30,RB,RB7,18
19,18890,Patrick Mahomes,KC,10,28,QB,QB1,19
20,20824,Josh Jacobs,LV,13,26,RB,RB8,20
21,19801,Josh Allen,BUF,13,27,QB,QB2,21
22,22598,Jaylen Waddle,MIA,10,25,WR,WR11,22
23,22565,Chris Olave,NO,11,23,WR,WR12,23
24,21831,Jalen Hurts,PHI,10,25,QB,QB3,24
25,21687,DeVonta Smith,PHI,10,25,WR,WR13,25
26,22546,Rhamondre Stevenson,NE,11,26,RB,RB9,26
27,21768,Najee Harris,PIT,6,26,RB,RB10,27
28,19803,Mark Andrews,BAL,13,28,TE,TE2,28
29,21690,Tee Higgins,CIN,7,25,WR,WR14,29
30,21696,Travis Etienne Jr.,JAX,9,25,RB,RB11,30
31,20875,DK Metcalf,SEA,5,26,WR,WR15,31
32,18858,Joe Mixon,CIN,7,27,RB,RB12,32
33,19802,Calvin Ridley,JAX,9,29,WR,WR16,33
34,23200,Jahmyr Gibbs,DET,9,22,RB,RB13,34
35,19781,Lamar Jackson,BAL,13,27,QB,QB4,35
36,20932,Deebo Samuel Sr.,SF,9,28,WR,WR17,36
37,15076,Keenan Allen,LAC,5,32,WR,WR18,37
38,19045,Aaron Jones,GB,6,29,RB,RB14,38
39,16765,Amari Cooper,CLE,5,29,WR,WR19,39
40,22526,Breece Hall,NYJ,7,22,RB,RB15,40
41,21693,Joe Burrow,CIN,7,27,QB,QB5,41
42,23214,Kenneth Walker III,SEA,5,23,RB,RB16,42
