Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
1,19766,Saquon Barkley,NYG,11,27,RB,RB1,1.4
2,18878,Alvin Kamara,NO,9,28,RB,RB2,2.5
3,18877,Christian McCaffrey,CAR,7,27,RB,RB3,3.2
4,17923,Ezekiel Elliott,DAL,8,28,RB,RB4,3.9
5,16470,Davante Adams,GB,11,31,WR,WR1,6.4
6,14986,DeAndre Hopkins,HOU,10,31,WR,WR2,7
7,18983,James Conner,PIT,7,29,RB,RB5,7.1
7,16847,David Johnson,ARI,12,32,RB,RB6,7.1
9,14967,Le'Veon Bell,NYJ,4,32,RB,RB7,8.8
10,13291,Julio Jones,ATL,9,35,WR,WR3,10.2
11,17960,Michael Thomas,NO,9,31,WR,WR4,10.4
12,19798,Nick Chubb,CLE,7,28,RB,RB8,11.7
13,18883,JuJu Smith-Schuster,PIT,7,27,WR,WR5,12.9
14,18082,Tyreek Hill,KC,12,30,WR,WR6,13.9
15,18872,Dalvin Cook,MIN,12,28,RB,RB9,14.6
16,16389,Odell Beckham Jr.,CLE,7,31,WR,WR7,15.1
17,16771,Todd Gurley II,LAR,9,29,RB,RB10,16
18,15048,Travis Kelce,KC,12,34,TE,TE1,17.1
19,18858,Joe Mixon,CIN,9,27,RB,RB11,18.4
20,18890,Patrick Mahomes,KC,12,28,QB,QB1,19.3
21,16597,Mike Evans,TB,7,30,WR,WR8,20.2
22,11056,Antonio Brown,LV,6,35,WR,WR9,21.4
23,15534,Adam Thielen,MIN,12,33,WR,WR10,22.9
24,18803,Leonard Fournette,JAX,10,29,RB,RB12,23.2
25,15076,Keenan Allen,LAC,12,32,WR,WR11,25
26,16031,Damien Williams,KC,12,32,RB,RB13,25.5
27,19119,Chris Carson,SEA,11,29,RB,RB14,26.5
28,19063,George Kittle,SF,4,30,TE,TE2,28.3
29,19822,Kerryon Johnson,DET,5,26,RB,RB15,28.5
30,19045,Aaron Jones,GB,11,29,RB,RB16,29.2
31,16524,Devonta Freeman,ATL,9,32,RB,RB17,30.4
32,16906,Stefon Diggs,MIN,12,30,WR,WR12,30.8
33,20882,David Montgomery,CHI,6,26,RB,RB18,31.3
34,20824,Josh Jacobs,LV,6,26,RB,RB19,33.1
34,16765,Amari Cooper,DAL,8,29,WR,WR13,33.1
36,14856,Zach Ertz,PHI,10,33,TE,TE3,33.5
37,8355,Julian Edelman,NE,10,37,WR,WR14,36.1
38,19828,Sony Michel,NE,10,29,RB,RB20,37.4
39,16568,Brandin Cooks,LAR,9,30,WR,WR15,39.1
40,13337,Mark Ingram II,BAL,8,34,RB,RB21,39.7
41,18880,Chris Godwin,TB,7,28,WR,WR16,39.9
42,16776,Melvin Gordon III,LAC,12,31,RB,RB22,42
43,14871,Robert Woods,LAR,9,32,WR,WR17,42.2
44,16830,Tyler Lockett,SEA,11,31,WR,WR18,42.9
45,17959,Derrick Henry,TEN,11,30,RB,RB23,43.8
46,18882,Cooper Kupp,LAR,9,30,WR,WR19,45.2
47,18998,Marlon Mack,IND,6,28,RB,RB24,46.5
48,18857,Deshaun Watson,HOU,10,28,QB,QB2,47.1
48,18977,Kenny Golladay,DET,5,30,WR,WR20,47.1
50,16056,James White,NE,10,32,RB,RB25,48.1
51,14005,T.Y. Hilton,IND,6,34,WR,WR21,49
52,17986,Tyler Boyd,CIN,9,29,WR,WR22,51.5
53,16838,Duke Johnson,HOU,10,30,RB,RB26,51.7
54,14587,Josh Gordon,NE,10,33,WR,WR23,52.1
55,19802,Calvin Ridley,ATL,9,29,WR,WR24,53.5
56,18901,O.J. Howard,TB,7,29,TE,TE4,54.1
57,20128,Phillip Lindsay,DEN,10,29,RB,RB27,55.6
58,2593,Aaron Rodgers,GB,11,40,QB,QB3,55.7
59,18912,Evan Engram,NYG,11,29,TE,TE5,57.3
60,16834,Tevin Coleman,SF,4,31,RB,RB28,57.7
61,20933,Miles Sanders,PHI,10,27,RB,RB29,59
62,18914,Mike Williams,LAC,12,29,WR,WR25,60.3
63,19562,Austin Ekeler,LAC,12,29,RB,RB30,61.7
64,18992,Dede Westbrook,JAX,10,30,WR,WR26,62.7
65,19790,Baker Mayfield,CLE,7,29,QB,QB4,63.2
66,17975,Hunter Henry,LAC,12,29,TE,TE6,63.3
67,12845,A.J. Green,CIN,9,35,WR,WR27,63.8
68,16020,Jarvis Landry,CLE,7,31,WR,WR28,64.8
69,19844,DJ Moore,CAR,7,27,WR,WR29,67.2
70,732,Matt Ryan,ATL,9,39,QB,QB5,69.2
71,19797,Derrius Guice,WAS,10,26,RB,RB31,69.8
72,13791,Lamar Miller,HOU,10,33,RB,RB32,70.4
73,8534,Jared Cook,NO,9,37,TE,TE7,70.6
74,19003,Tarik Cohen,CHI,6,28,RB,RB33,71
75,14187,Alshon Jeffery,PHI,10,34,WR,WR30,71.9
76,7242,Drew Brees,NO,9,45,QB,QB6,73.9
77,17920,Carson Wentz,PHI,10,31,QB,QB7,74.6
78,15239,Vance McDonald,PIT,7,33,TE,TE8,75.1
79,18187,Robbie Chosen,NYJ,4,31,WR,WR31,75.9
80,15071,Latavius Murray,NO,9,34,RB,RB34,76.4
81,16263,Allen Robinson II,CHI,6,30,WR,WR32,76.6
82,11063,Emmanuel Sanders,DEN,10,37,WR,WR33,80.6
83,17922,Jared Goff,LAR,9,29,QB,QB8,81.5
84,17916,William Fuller V,HOU,10,30,WR,WR34,81.6
85,18003,Kenyan Drake,MIA,5,30,RB,RB35,82.9
86,20912,Tony Pollard,DAL,8,27,RB,RB36,83.3
87,18876,David Njoku,CLE,7,27,TE,TE9,83.5
88,20941,Devin Singletary,BUF,6,26,RB,RB37,83.9
89,19319,Matt Breida,SF,4,29,RB,RB38,84.8
90,20964,Darwin Thompson,KC,12,27,RB,RB39,86
91,14008,Andrew Luck,IND,6,34,QB,QB9,87.8
92,18928,Curtis Samuel,CAR,7,27,WR,WR35,88
93,14536,Russell Wilson,SEA,11,35,QB,QB10,88.4
94,19815,Christian Kirk,ARI,12,27,WR,WR36,89.9
95,11932,LeSean McCoy,KC,12,35,RB,RB40,90.8
96,17961,Sterling Shepard,NYG,11,31,WR,WR37,92.2
97,38,Chicago Bears,CHI,6,null,DST,DST1,92.4
98,20798,Darrell Henderson Jr.,LAR,9,26,RB,RB41,93
99,13320,Cam Newton,CAR,7,35,QB,QB11,94.4
100,19799,Rashaad Penny,SEA,11,28,RB,RB42,95.3
101,17963,Austin Hooper,ATL,9,29,TE,TE10,95.4
102,16003,Sammy Watkins,KC,12,30,WR,WR38,96.1
103,19781,Lamar Jackson,BAL,8,27,QB,QB12,97.6
104,18269,Geronimo Allison,GB,11,30,WR,WR39,98.7
105,19976,Marquez Valdes-Scantling,GB,11,29,WR,WR40,100.6
106,18944,Kareem Hunt,CLE,7,28,RB,RB43,100.8
107,19865,James Washington,PIT,7,28,WR,WR41,101.3
108,18067,Jordan Howard,PHI,10,29,RB,RB44,103.7
109,16762,Jameis Winston,TB,7,30,QB,QB13,105.1
110,13870,Marvin Jones Jr.,DET,5,34,WR,WR42,105.3
111,32,Los Angeles Rams,LAR,9,null,DST,DST2,105.6
112,5571,Larry Fitzgerald,ARI,12,40,WR,WR43,106.5
113,3807,Ben Roethlisberger,PIT,7,42,QB,QB14,106.8
114,19823,Royce Freeman,DEN,10,28,RB,RB45,108.1
115,52,Jacksonville Jaguars,JAX,10,null,DST,DST3,109.3
116,19854,Dante Pettis,SF,4,28,WR,WR44,109.8
117,18879,Corey Davis,TEN,11,29,WR,WR45,110.8
118,20889,Kyler Murray,ARI,12,26,QB,QB15,110.9
119,19824,Kalen Ballage,MIA,5,28,RB,RB46,113.5
120,19867,Michael Gallup,DAL,8,28,WR,WR46,113.8
121,4314,Tom Brady,NE,10,46,QB,QB16,114.6
122,7175,Delanie Walker,TEN,11,39,TE,TE11,115.4
123,8244,Philip Rivers,LAC,12,42,QB,QB17,116.1
124,36,Baltimore Ravens,BAL,8,null,DST,DST4,117
125,16451,Eric Ebron,IND,6,31,TE,TE12,117.5
126,19996,Jaylen Samuels,PIT,7,27,RB,RB47,119
127,3943,DeSean Jackson,PHI,10,37,WR,WR47,119.4
128,16232,Donte Moncrief,PIT,7,30,WR,WR48,119.8
129,20064,Justin Jackson,LAC,12,28,RB,RB48,119.9
130,20802,Justice Hill,BAL,8,26,RB,RB49,120.7
131,11611,Golden Tate,NYG,11,35,WR,WR49,123.3
132,8,Cleveland Browns,CLE,7,null,DST,DST5,126
133,20805,T.J. Hockenson,DET,5,26,TE,TE13,126.1
134,19800,Courtland Sutton,DEN,10,28,WR,WR50,126.2
135,18055,Dak Prescott,DAL,8,30,QB,QB18,127.2
136,20868,Alexander Mattison,MIN,12,25,RB,RB50,127.3
137,16866,Jamison Crowder,NYJ,4,30,WR,WR51,128.8
138,14252,Kirk Cousins,MIN,12,35,QB,QB19,130.7
139,18375,Peyton Barber,TB,7,30,RB,RB51,131.3
140,17048,Tyrell Williams,LV,6,32,WR,WR52,131.4
141,20875,DK Metcalf,SEA,11,26,WR,WR53,131.8
142,4807,Adrian Peterson,WAS,10,39,RB,RB52,133.1
143,67,Minnesota Vikings,MIN,12,null,DST,DST6,134
144,19864,Anthony Miller,CHI,6,29,WR,WR54,134.4
145,16640,John Brown,BUF,6,34,WR,WR55,136.2
146,84,Los Angeles Chargers,LAC,12,null,DST,DST7,137.4
147,20788,Mecole Hardman Jr.,KC,12,26,WR,WR56,137.7
148,48,Dallas Cowboys,DAL,8,null,DST,DST8,137.9
149,18811,Mitchell Trubisky,CHI,6,29,QB,QB20,139.2
150,19803,Mark Andrews,BAL,8,28,TE,TE14,142.1
151,12708,Dion Lewis,TEN,11,33,RB,RB53,142.9
