Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
152,14697,Greg Zuerlein,LAR,9,36,K,K1,144.3
153,19801,Josh Allen,BUF,6,27,QB,QB21,145.8
153,49,Denver Broncos,DEN,10,null,DST,DST9,145.8
155,19937,Keke Coutee,HOU,10,27,WR,WR57,146.2
156,16041,Jimmy Garoppolo,SF,4,32,QB,QB22,147.5
157,1658,Greg Olsen,CAR,7,39,TE,TE15,148.9
158,14688,Justin Tucker,BAL,8,34,K,K2,149.7
159,20790,Damien Harris,NE,10,27,RB,RB54,151.4
159,18957,D'Onta Foreman,IND,6,28,RB,RB55,151.4
161,19073,Harrison Butker,KC,12,28,K,K3,151.6
162,20932,Deebo Samuel Sr.,SF,4,28,WR,WR58,151.8
162,20792,N'Keal Harry,NE,10,26,WR,WR59,151.8
164,16668,Carlos Hyde,HOU,10,33,RB,RB56,151.9
165,5820,Frank Gore,BUF,6,41,RB,RB57,152.3
166,15965,Trey Burton,CHI,6,32,TE,TE16,152.4
167,19924,Ito Smith,ATL,9,28,RB,RB58,154.2
168,13275,Kyle Rudolph,MIN,12,34,TE,TE17,154.9
169,16964,Darren Waller,LV,6,31,TE,TE18,155.8
170,11488,Jimmy Graham,GB,11,37,TE,TE19,156.6
171,15602,Jack Doyle,IND,6,34,TE,TE20,156.8
172,16855,Ty Montgomery II,NYJ,4,31,WR,WR60,157.1
173,19947,Chris Herndon,NYJ,4,28,TE,TE21,157.3
174,16311,Derek Carr,LV,6,33,QB,QB23,157.4
175,2982,Stephen Gostkowski,NE,10,40,K,K4,157.5
176,18478,Wil Lutz,NO,9,29,K,K5,157.6
176,17053,Malcolm Brown,LAR,9,31,RB,RB59,157.6
178,19626,Dare Ogunbowale,TB,7,30,RB,RB60,157.9
179,19863,Dallas Goedert,PHI,10,29,TE,TE22,158
179,15100,Jordan Reed,WAS,10,33,TE,TE23,158
181,19861,Ronald Jones,TB,7,26,RB,RB61,158.1
181,20753,Noah Fant,DEN,10,26,TE,TE24,158.1
181,26,Philadelphia Eagles,PHI,10,null,DST,DST10,158.1
184,16510,Jerick McKinnon,SF,4,32,RB,RB62,158.5
185,16802,Devin Funchess,IND,6,30,TE,TE25,158.8
186,21,New England Patriots,NE,10,null,DST,DST11,159.1
187,19912,Nyheim Hines,IND,6,27,RB,RB63,159.2
188,14916,Giovani Bernard,CIN,9,32,RB,RB64,159.3
189,14141,Cole Beasley,BUF,6,35,WR,WR61,159.6
189,20820,Andy Isabella,ARI,12,27,WR,WR62,159.6
191,28,Pittsburgh Steelers,PIT,7,null,DST,DST12,160.5
192,16887,Mike Davis,CHI,6,31,RB,RB65,160.6
193,13878,Mohamed Sanu,ATL,9,34,WR,WR63,160.7
194,9038,Matthew Stafford,DET,5,36,QB,QB24,160.8
194,15020,CJ Anderson,DET,5,33,RB,RB66,160.8
196,15102,Chris Thompson,WAS,10,33,RB,RB67,161.3
197,11197,Demaryius Thomas,NE,10,36,WR,WR64,161.4
198,15196,Kenny Stills,HOU,10,32,WR,WR65,161.5
199,19897,Tre'Quan Smith,NO,9,28,WR,WR66,161.6
200,13227,Randall Cobb,DAL,8,33,WR,WR67,161.7
201,21005,Parris Campbell,IND,6,26,WR,WR68,162.3
202,19916,DaeSean Hamilton,DEN,10,29,WR,WR69,162.5
203,90,Seattle Seahawks,SEA,11,null,DST,DST13,162.7
204,69,New Orleans Saints,NO,9,null,DST,DST14,162.8
205,18215,Ka'imi Fairbairn,HOU,10,30,K,K6,162.9
206,14865,Marquise Goodwin,SF,4,33,WR,WR70,163
207,14269,Alfred Morris,DAL,8,35,RB,RB68,163.1
208,16775,DeVante Parker,MIA,5,31,WR,WR71,163.8
209,21045,Marquise Brown,BAL,8,26,WR,WR72,163.9
210,19812,Sam Darnold,NYJ,4,26,QB,QB25,164.2
211,13,Houston Texans,HOU,10,null,DST,DST15,165.4
212,37,Buffalo Bills,BUF,6,null,DST,DST16,165.5
213,18018,Jacoby Brissett,IND,6,31,QB,QB26,166.4
214,17290,Adam Humphries,TEN,11,30,WR,WR73,166.9
215,19041,Jake Elliott,PHI,10,29,K,K7,167.2
216,82,New York Jets,NYJ,4,null,DST,DST17,167.5
217,20144,Michael Badgley,LAC,12,28,K,K8,168.2
218,1694,Mason Crosby,GB,11,39,K,K9,169.2
219,34,Tennessee Titans,TEN,11,null,DST,DST18,169.3
220,14,Indianapolis Colts,IND,6,null,DST,DST19,169.7
221,1410,Robbie Gould,SF,4,41,K,K10,169.8
222,12,Green Bay Packers,GB,11,null,DST,DST20,170.1
223,15758,Giorgio Tavecchio,ATL,9,33,K,K11,170.5
224,17215,Jason Myers,SEA,11,33,K,K12,170.7
225,93,San Francisco 49ers,SF,4,null,DST,DST21,170.8
226,13109,Dan Bailey,MIN,12,36,K,K13,172
227,15854,Brett Maher,DAL,8,34,K,K14,172.7
228,3258,Adam Vinatieri,IND,6,51,K,K15,172.8
229,549,Matt Prater,DET,5,39,K,K16,173.8
230,55,Kansas City Chiefs,KC,12,null,DST,DST22,175
231,16063,Quincy Enunwa,NYJ,4,31,WR,WR74,176
231,2,Atlanta Falcons,ATL,9,null,DST,DST23,176
233,16308,Albert Wilson,MIA,5,31,WR,WR75,177
233,64,Miami Dolphins,MIA,5,null,DST,DST24,177
235,12109,Ted Ginn Jr.,NO,9,39,WR,WR76,178
235,75,New York Giants,NYG,11,null,DST,DST25,178
237,16694,Paul Richardson,WAS,10,32,WR,WR77,179
238,16258,Marqise Lee,JAX,10,32,WR,WR78,180
239,1,Arizona Cardinals,ARI,12,null,DST,DST26,181
240,20250,Robert Foster,BUF,6,30,WR,WR79,182
240,11,Detroit Lions,DET,5,null,DST,DST27,182
242,18089,Rashard Higgins,CLE,7,29,WR,WR80,183
242,83,Las Vegas Raiders,LV,6,null,DST,DST28,183
244,97,Washington Commanders,WAS,10,null,DST,DST29,184
245,16837,Chris Conley,JAX,10,31,WR,WR81,185
246,95,Tampa Bay Buccaneers,TB,7,null,DST,DST30,186
247,7,Cincinnati Bengals,CIN,9,null,DST,DST31,187
248,20079,Trey Quinn,WAS,10,28,WR,WR82,188
248,5,Carolina Panthers,CAR,7,null,DST,DST32,188
250,21042,A.J. Brown,TEN,11,26,WR,WR83,189
251,18690,Jalen Richard,LV,6,30,RB,RB69,190
252,19120,David Moore,SEA,11,29,WR,WR84,191
253,20873,Terry McLaurin,WAS,10,28,WR,WR85,192
254,16141,Willie Snead IV,BAL,8,31,WR,WR86,193
255,9906,Danny Amendola,DET,5,38,WR,WR87,194
256,18995,Jamaal Williams,GB,11,29,RB,RB70,195
257,16781,Nelson Agholor,PHI,10,30,WR,WR88,196
258,16790,Phillip Dorsett,NE,10,31,WR,WR89,197
259,15509,Jaron Brown,SEA,11,34,WR,WR90,198
260,16129,Taylor Gabriel,CHI,6,33,WR,WR91,199
261,21037,Miles Boykin,BAL,8,27,WR,WR92,200
262,18881,John Ross,CIN,9,28,WR,WR93,201
263,14917,Rex Burkhead,NE,10,33,RB,RB71,202
264,19922,Justin Watson,TB,7,29,WR,WR94,203
265,19816,DJ Chark Jr.,JAX,10,27,WR,WR95,204
266,17939,Josh Doctson,MIN,12,31,WR,WR96,205
267,13887,Travis Benjamin,LAC,12,34,WR,WR97,206
268,14465,Jarius Wright,CAR,7,34,WR,WR98,207
269,18926,Zay Jones,BUF,6,29,WR,WR99,208
270,17970,Devontae Booker,DEN,10,31,RB,RB72,209
271,12841,Andy Dalton,CIN,9,36,QB,QB27,210
272,16763,Marcus Mariota,TEN,11,30,QB,QB28,213
273,18030,Chris Moore,BAL,8,30,WR,WR100,214
274,20743,Ryquell Armstead,JAX,10,27,RB,RB73,215
275,16787,Breshad Perriman,TB,7,30,WR,WR101,216
276,13723,Nick Foles,JAX,10,35,QB,QB29,217
277,12800,Bilal Powell,NYJ,4,35,RB,RB74,218
278,19919,Chase Edmonds,ARI,12,28,RB,RB75,219
279,21056,Hakeem Butler,ARI,12,28,WR,WR102,220
280,20795,Dwayne Haskins,WAS,10,27,QB,QB30,221
281,20582,Chad Beebe,MIN,12,29,WR,WR103,222
282,20239,Gus Edwards,BAL,8,29,RB,RB76,223
283,16189,Alfred Blue,JAX,10,33,RB,RB77,224
284,611,Joe Flacco,DEN,10,39,QB,QB31,225
285,18443,Maurice Harris,NE,10,31,WR,WR104,226
286,18996,Wayne Gallman,NYG,11,29,RB,RB78,227
287,19514,Keelan Cole Sr.,JAX,10,31,WR,WR105,228
288,18103,Jakeem Grant Sr.,MIA,5,31,WR,WR106,229
289,16411,Ryan Grant,LV,6,33,WR,WR107,230
290,19318,Kendrick Bourne,SF,4,28,WR,WR108,231
291,16276,Bennie Fowler,NYG,11,32,WR,WR109,233
292,17289,Jake Kumerow,GB,11,32,WR,WR110,234
293,18361,Chester Rogers,IND,6,30,WR,WR111,235
294,19043,Isaiah McKenzie,BUF,6,29,WR,WR112,237
295,17023,Zach Zenner,DET,5,32,RB,RB79,238
296,20817,Jalen Hurd,SF,4,28,WR,WR113,239
297,20950,Benny Snell Jr.,PIT,7,26,RB,RB80,240
298,20924,Hunter Renfrow,LV,6,28,WR,WR114,241
299,19917,Antonio Callaway,CLE,7,27,WR,WR115,242
300,19207,Tim Patrick,DEN,10,30,WR,WR116,243
301,16326,Seth Roberts,BAL,8,33,WR,WR117,244
302,4932,Eli Manning,NYG,11,43,QB,QB32,245
303,15224,Andre Ellington,TB,7,35,RB,RB81,246
304,19109,Elijah McGuire,CLE,7,29,RB,RB82,247
305,14901,Kyle Juszczyk,SF,4,33,FB,RB83,248
306,21055,Emmanuel Butler,NO,9,27,WR,WR118,249
307,16934,Cameron Artis-Payne,CAR,7,31,RB,RB84,250
308,14385,Doug Martin,LV,6,35,RB,RB85,251
309,20742,J.J. Arcega-Whiteside,PHI,10,27,WR,WR119,252
310,14828,Chris Hogan,CAR,7,36,WR,WR120,253
311,15207,Benjamin Cunningham,JAX,10,33,RB,RB86,254
312,6198,Darren Sproles,PHI,10,40,RB,RB87,255
313,15215,Tavon Austin,DAL,8,34,WR,WR121,256
314,19017,Josh Reynolds,LAR,9,29,WR,WR122,258
315,16253,Allen Hurns,MIA,5,32,WR,WR123,259
316,13788,Rishard Matthews,NO,9,34,WR,WR124,260
317,19064,Trent Taylor,SF,4,30,WR,WR125,261
318,18047,Demarcus Robinson,KC,12,29,WR,WR126,262
319,18464,J.D. McKissic,DET,5,30,RB,RB88,263
320,17969,Kenneth Dixon,BAL,8,30,RB,RB89,265
321,14749,Jermaine Kearse,DET,5,34,WR,WR127,266
322,19763,Josh Rosen,MIA,5,27,QB,QB33,267
323,17153,Jordan Taylor,MIN,12,32,WR,WR128,268
324,16815,Ameer Abdullah,MIN,12,30,RB,RB90,269
325,21077,Diontae Johnson,PIT,7,27,WR,WR129,270
326,20925,Riley Ridley,CHI,6,27,WR,WR130,271
327,18971,Taywan Taylor,CLE,7,29,WR,WR131,272
328,19548,Corey Clement,PHI,10,29,RB,RB91,273
329,15150,Cordarrelle Patterson,CHI,6,33,RB,RB92,275
330,722,Jason Witten,DAL,8,42,TE,TE26,276
331,20789,Kelvin Harmon,WAS,10,27,WR,WR132,277
332,16797,T.J. Yeldon,BUF,6,30,RB,RB93,278
333,18116,Cody Core,NYG,11,30,WR,WR133,279
334,14918,Tyler Eifert,CIN,9,33,TE,TE27,280
335,16868,Justin Hardy,ATL,9,32,WR,WR134,281
336,19811,Marcell Ateman,LV,6,29,WR,WR135,282
337,17480,Eli Rogers,PIT,7,31,WR,WR136,283
338,20863,Bryce Love,WAS,10,26,RB,RB94,284
339,19348,Jesus Wilson,TB,7,29,WR,WR137,285
340,18070,Wendell Smallwood,WAS,10,30,RB,RB95,286
341,15066,Brice Butler,MIA,5,34,WR,WR138,287
342,16728,Dontrelle Inman,LAC,12,35,WR,WR139,288
343,17218,DeAndre Carter,HOU,10,31,WR,WR140,289
344,19172,Zach Pascal,IND,6,29,WR,WR141,291
345,20016,David Williams,DEN,10,29,RB,RB96,292
346,20740,Bruce Anderson III,TB,7,26,RB,RB97,293
347,20398,Equanimeous St. Brown,GB,11,27,WR,WR142,295
348,14795,Josh Bellamy,NYJ,4,35,WR,WR143,296
349,12830,Torrey Smith,CAR,7,35,WR,WR144,297
350,16919,J.J. Nelson,LV,6,32,WR,WR145,298
351,19979,Jordan Wilkins,IND,6,29,RB,RB98,299
352,18058,Tajae Sharpe,TEN,11,29,WR,WR146,300
353,16593,Cameron Brate,TB,7,32,TE,TE28,301
354,20071,Keith Kirkwood,NO,9,29,WR,WR147,302
355,19969,Damion Ratley,CLE,7,29,WR,WR148,303
356,15694,Case Keenum,WAS,10,36,QB,QB34,304
357,20943,Darius Slayton,NYG,11,27,WR,WR149,305
358,20500,Darrel Williams,KC,12,29,RB,RB99,306
359,17360,Rod Smith,NYG,11,32,RB,RB100,307
360,19008,Ryan Switzer,PIT,7,29,WR,WR150,308
361,19950,Will Dissly,SEA,11,27,TE,TE29,309
362,20741,Rodney Anderson,CIN,9,27,RB,RB101,310
363,13171,Aldrick Robinson,CAR,7,35,WR,WR151,311
364,18990,Jonnu Smith,TEN,11,28,TE,TE30,312
365,16278,Cody Latimer,NYG,11,31,WR,WR152,313
366,19569,Artavis Scott,LAC,12,29,WR,WR153,315
367,19006,Josh Malone,CIN,9,28,WR,WR154,316
368,18974,Chad Williams,ARI,12,29,WR,WR155,317
369,18508,Andy Jones,DET,5,29,WR,WR156,318
370,15974,Jordan Matthews,SF,4,31,TE,TE31,319
371,17914,Laquon Treadwell,MIN,12,28,WR,WR157,320
372,20295,Vyncint Smith,HOU,10,27,WR,WR158,321
373,8283,Ryan Fitzpatrick,MIA,5,41,QB,QB35,322
374,18197,Alex Erickson,CIN,9,31,WR,WR159,323
375,5084,Vernon Davis,WAS,10,40,TE,TE32,324
376,20487,Brandon Powell,ATL,9,28,WR,WR160,325
377,14783,James Develin,NE,10,35,FB,RB102,326
378,19080,Noah Brown,DAL,8,28,WR,WR161,327
379,16917,C.J. Uzomah,CIN,9,31,TE,TE33,328
380,20900,Qadree Ollison,ATL,9,27,RB,RB103,329
381,18299,Kenneth Farrow,MIA,5,31,RB,RB104,330
382,13693,Terrelle Pryor,JAX,10,34,WR,WR162,331
383,11756,Benjamin Watson,NE,10,43,TE,TE34,332
384,20373,Deontay Burnett,NYJ,4,26,WR,WR163,333
385,12777,Lee Smith,BUF,6,36,TE,TE35,334
386,16920,Jesse James,DET,5,29,TE,TE36,335
387,17965,C.J. Prosise,SEA,11,30,RB,RB105,336
388,17415,Matt LaCosse,NE,10,31,TE,TE37,337
389,19853,Mike Gesicki,MIA,5,28,TE,TE38,338
390,19910,Ian Thomas,CAR,7,27,TE,TE39,339
391,20117,Da'Mari Scott,NYG,11,28,WR,WR164,340
392,19457,Blake Jarwin,DAL,8,29,TE,TE40,341
393,20841,Daniel Jones,NYG,11,26,QB,QB36,342
394,18935,Gerald Everett,LAR,9,29,TE,TE41,343
395,20810,Travis Homer,SEA,11,25,RB,RB106,344
396,20762,Travis Fulgham,DET,5,28,WR,WR165,345
397,19410,Ricky Seals-Jones,CLE,7,29,TE,TE42,346
398,15966,David Fluellen,TEN,11,32,RB,RB107,347
399,15261,Spencer Ware,IND,6,32,RB,RB108,348
400,18985,Amara Darboh,SEA,11,30,WR,WR166,349
401,20477,Derrick Willies,CLE,7,29,WR,WR167,350
402,21138,Scotty Miller,TB,7,26,WR,WR168,351
403,17005,Geoff Swaim,JAX,10,30,TE,TE43,352
404,20984,Dexter Williams,GB,11,27,RB,RB109,353
405,18019,Nick Vannett,SEA,11,31,TE,TE44,354
406,13418,Anthony Sherman,KC,12,35,FB,RB110,355
407,17972,Paul Perkins,NYG,11,29,RB,RB111,356
408,18061,DeAndre Washington,LV,6,31,RB,RB112,357
409,19547,Billy Brown,IND,6,31,TE,TE45,358
410,19915,Mark Walton,MIA,5,27,RB,RB113,359
411,18032,Tyler Higbee,LAR,9,31,TE,TE46,360
412,18285,Roger Lewis,IND,6,30,WR,WR169,361
413,19843,Hayden Hurst,BAL,8,30,TE,TE47,362
414,18132,Darius Jackson,DAL,8,30,RB,RB114,363
415,20006,Russell Gage,ATL,9,28,WR,WR170,364
416,16846,Tyler Kroft,BUF,6,31,TE,TE48,365
417,20159,Mike Boone,MIN,12,28,RB,RB115,366
418,12751,Charles Clay,ARI,12,35,TE,TE49,367
419,20850,Dawson Knox,BUF,6,27,TE,TE50,368
420,17197,Corey Grant,GB,11,32,RB,RB116,369
421,18217,Josh Ferguson,HOU,10,30,RB,RB117,370
422,20829,Gary Jennings,SEA,11,27,WR,WR171,371
423,19935,J'Mon Moore,GB,11,28,WR,WR172,372
424,16456,TJ Jones,NYG,11,31,WR,WR173,373
425,20835,KeeSean Johnson,ARI,12,27,WR,WR174,374
426,20081,Trent Sherfield Sr.,ARI,12,28,WR,WR175,375
427,19980,Deon Cain,IND,6,27,WR,WR176,376
428,18617,Elijhaa Penny,NYG,11,30,RB,RB118,377
429,20949,Irv Smith,MIN,12,25,TE,TE51,379
430,18931,Adam Shaheen,CHI,6,29,TE,TE52,380
431,20075,Josh Adams,PHI,10,27,RB,RB119,381
432,20768,Myles Gaskin,MIA,5,27,RB,RB120,382
433,20899,Josh Oliver,JAX,10,27,TE,TE53,383
434,20011,Javon Wims,CHI,6,29,WR,WR177,384
435,18093,Andy Janovich,DEN,10,30,FB,RB121,385
436,14850,Russell Shepard,NYG,11,33,WR,WR178,386
437,19358,Gehrig Dieter,KC,12,31,WR,WR179,387
438,12153,Ed Dickson,SEA,11,36,TE,TE54,388
439,15555,Zach Line,NO,9,34,FB,RB122,389
440,20309,Detrez Newsome,LAC,12,30,RB,RB123,390
441,21132,Chandler Cox,MIA,5,27,FB,RB124,391
442,19023,Mack Hollins,PHI,10,30,WR,WR180,392
443,17167,Cameron Meredith,NE,10,31,WR,WR181,393
444,20073,Saeed Blacknall,MIA,5,28,WR,WR182,394
445,14496,Garrett Celek,SF,4,35,TE,TE55,395
446,20952,Jace Sternberger,GB,11,27,TE,TE56,396
