Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
1,18877,Christian McCaffrey,CAR,13,27,RB,RB1,1.2
2,19766,Saquon Barkley,NYG,11,27,RB,RB2,2.5
3,17923,Ezekiel Elliott,DAL,10,28,RB,RB3,3.4
4,18878,Alvin Kamara,NO,6,28,RB,RB4,4.9
5,17960,Michael Thomas,NO,6,31,WR,WR1,5.6
6,18872,Dalvin Cook,MIN,7,28,RB,RB5,6.2
6,21769,Clyde Edwards-Helaire,KC,10,25,RB,RB6,6.2
8,17959,Derrick Henry,TEN,4,30,RB,RB7,7.4
9,20824,Josh Jacobs,LV,6,26,RB,RB8,9.1
10,16470,Davante Adams,GB,5,31,WR,WR2,10.4
11,19562,Austin Ekeler,LAC,6,29,RB,RB9,11.5
12,20933,Miles Sanders,PHI,9,27,RB,RB10,12
13,18858,Joe Mixon,CIN,9,27,RB,RB11,13.1
14,13291,Julio Jones,ATL,10,35,WR,WR3,14.4
15,18003,Kenyan Drake,ARI,8,30,RB,RB12,14.8
16,18082,Tyreek Hill,KC,10,30,WR,WR4,15.8
17,19798,Nick Chubb,CLE,9,28,RB,RB13,16.3
18,19045,Aaron Jones,GB,5,29,RB,RB14,17.5
19,14986,DeAndre Hopkins,ARI,8,31,WR,WR5,18.5
20,18890,Patrick Mahomes,KC,10,28,QB,QB1,18.7
21,15048,Travis Kelce,KC,10,34,TE,TE1,19.9
22,18880,Chris Godwin,TB,13,28,WR,WR6,21.5
23,18983,James Conner,PIT,4,29,RB,RB15,22.4
24,19781,Lamar Jackson,BAL,7,27,QB,QB2,22.7
25,19063,George Kittle,SF,11,30,TE,TE2,24.4
26,18977,Kenny Golladay,DET,5,30,WR,WR7,25.8
27,19119,Chris Carson,SEA,6,29,RB,RB16,26.4
28,16597,Mike Evans,TB,13,30,WR,WR8,27.9
29,16847,David Johnson,HOU,8,32,RB,RB17,28.5
30,16771,Todd Gurley II,ATL,10,29,RB,RB18,29.1
31,15534,Adam Thielen,MIN,7,33,WR,WR9,30.3
32,16263,Allen Robinson II,CHI,11,30,WR,WR10,31.8
33,21682,Jonathan Taylor,IND,7,25,RB,RB19,32.6
33,19844,DJ Moore,CAR,13,27,WR,WR11,32.6
35,14967,Le'Veon Bell,NYJ,10,32,RB,RB20,34.5
36,18803,Leonard Fournette,TB,13,29,RB,RB21,35.4
37,16389,Odell Beckham Jr.,CLE,9,31,WR,WR12,35.7
38,18883,JuJu Smith-Schuster,PIT,4,27,WR,WR13,36.9
39,16765,Amari Cooper,DAL,10,29,WR,WR14,38.1
40,16776,Melvin Gordon III,DEN,5,31,RB,RB22,39.4
41,18882,Cooper Kupp,LAR,9,30,WR,WR15,40.3
42,19802,Calvin Ridley,ATL,10,29,WR,WR16,40.9
43,14871,Robert Woods,LAR,9,32,WR,WR17,42.4
43,19803,Mark Andrews,BAL,7,28,TE,TE3,42.4
45,13337,Mark Ingram II,BAL,7,34,RB,RB23,42.5
46,21042,A.J. Brown,TEN,4,26,WR,WR18,44.4
47,20875,DK Metcalf,SEA,6,26,WR,WR19,45.3
48,20941,Devin Singletary,BUF,11,26,RB,RB24,46.4
49,19816,DJ Chark Jr.,JAX,8,27,WR,WR20,47.5
50,17217,Raheem Mostert,SF,11,32,RB,RB25,49.4
51,16830,Tyler Lockett,SEA,6,31,WR,WR21,49.9
52,14856,Zach Ertz,PHI,9,33,TE,TE4,50.6
53,20873,Terry McLaurin,WAS,8,28,WR,WR22,50.8
54,21688,Cam Akers,LAR,9,24,RB,RB26,52.8
55,18944,Kareem Hunt,CLE,9,28,RB,RB27,53.1
56,15076,Keenan Allen,LAC,6,32,WR,WR23,53.5
57,18055,Dak Prescott,DAL,10,30,QB,QB3,54.7
58,19861,Ronald Jones,TB,13,26,RB,RB28,56.5
59,14005,T.Y. Hilton,IND,7,34,WR,WR24,57.5
60,19800,Courtland Sutton,DEN,5,28,WR,WR25,58.1
61,20882,David Montgomery,CHI,11,26,RB,RB29,59.7
62,21045,Marquise Brown,BAL,7,26,WR,WR26,60
63,21684,D'Andre Swift,DET,5,25,RB,RB30,61.4
64,16964,Darren Waller,LV,6,31,TE,TE5,61.6
65,14536,Russell Wilson,SEA,6,35,QB,QB4,62
66,20889,Kyler Murray,ARI,8,26,QB,QB5,62.6
67,16906,Stefon Diggs,BUF,11,30,WR,WR27,65
68,16775,DeVante Parker,MIA,7,31,WR,WR28,66.7
69,21674,J.K. Dobbins,BAL,7,25,RB,RB31,67
70,18857,Deshaun Watson,HOU,8,28,QB,QB6,69.3
71,12845,A.J. Green,CIN,9,35,WR,WR29,69.8
72,10974,Rob Gronkowski,TB,13,35,TE,TE6,70.4
73,17916,William Fuller V,HOU,8,30,WR,WR30,70.5
74,19867,Michael Gallup,DAL,10,28,WR,WR31,72.2
75,16056,James White,NE,5,32,RB,RB32,72.7
76,18998,Marlon Mack,IND,7,28,RB,RB33,74.6
77,18912,Evan Engram,NYG,11,29,TE,TE7,74.8
78,8355,Julian Edelman,NE,5,37,WR,WR32,77.2
79,17986,Tyler Boyd,CIN,9,29,WR,WR33,78.5
80,21861,Antonio Gibson,WAS,8,25,RB,RB34,79
81,19843,Hayden Hurst,ATL,10,30,TE,TE8,79.4
82,18067,Jordan Howard,MIA,7,29,RB,RB35,80
83,7242,Drew Brees,NO,6,45,QB,QB7,80.1
84,16568,Brandin Cooks,HOU,8,30,WR,WR34,81.5
85,21784,Zack Moss,BUF,11,26,RB,RB36,83.7
86,20128,Phillip Lindsay,DEN,5,29,RB,RB37,83.8
87,19003,Tarik Cohen,CHI,11,28,RB,RB38,84.6
88,732,Matt Ryan,ATL,10,39,QB,QB8,84.8
